Device: mps
Attack: one_pixel
Num images: 100
/Users/omar/Documents/Projects/adversarial-robustness/venv/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")

=== Model: standard (checkpoints/standard_best.pt) ===
  k=1 [20/100] success=15.0%  (81.0s)
  k=1 [40/100] success=20.0%  (156.8s)
  k=1 [60/100] success=21.7%  (229.7s)
  k=1 [80/100] success=23.4%  (288.3s)
  k=1 [100/100] success=26.0%  (346.3s)
  k=3 [20/100] success=50.0%  (64.7s)
  k=3 [40/100] success=50.0%  (126.3s)
  k=3 [60/100] success=51.7%  (187.1s)
  k=3 [80/100] success=57.1%  (219.1s)
  k=3 [100/100] success=57.3%  (268.4s)
  k=5 [20/100] success=60.0%  (54.3s)
  k=5 [40/100] success=57.5%  (112.3s)
  k=5 [60/100] success=61.7%  (163.2s)
  k=5 [80/100] success=67.5%  (187.2s)
  k=5 [100/100] success=66.7%  (235.9s)

=== Model: robust (checkpoints/robust_best.pt) ===
  k=1 [20/100] success=10.0%  (84.6s)
  k=1 [40/100] success=5.1%  (173.7s)
  k=1 [60/100] success=8.8%  (252.6s)
  k=1 [80/100] success=9.9%  (315.5s)
  k=1 [100/100] success=10.2%  (395.7s)
  k=3 [20/100] success=30.0%  (94.4s)
  k=3 [40/100] success=15.4%  (198.6s)
  k=3 [60/100] success=19.3%  (272.0s)
  k=3 [80/100] success=21.1%  (332.5s)
  k=3 [100/100] success=21.6%  (404.4s)
  k=5 [20/100] success=35.0%  (88.7s)
  k=5 [40/100] success=23.1%  (191.2s)
  k=5 [60/100] success=26.3%  (264.0s)
  k=5 [80/100] success=26.8%  (323.1s)
  k=5 [100/100] success=26.1%  (402.5s)

Results saved to: results/one_pixel.json
